,Word,Coefficient
11338,වේවා,2.104704180417469
10179,ලැබේවා,1.9861117642381634
13041,හොඳ,1.9586524609169704
11559,සතුටුයි,1.9334066375060988
13052,හොඳයි,1.799983891727485
2313,ඔබට,1.7713485286529211
1277,ඇත්ත,1.7046827645954812
13036,හොදයි,1.6742986114507152
4374,ජයවේවා,1.6459014125287528
6259,නියම,1.6279750625784546
6260,නියමයි,1.5445561681998636
12307,සුබ,1.528195946789078
2308,ඔබ,1.480812452189019
4357,ජය,1.4692214055266377
10109,ලස්සනයි,1.4525266061065976
1247,ආසයි,1.4284296785849067
10104,ලස්සන,1.3818395475341572
7282,පැතුම්,1.301722778629635
10196,ලිපියක්,1.2999204986895414
8668,මමත්,1.2740429515367282
11551,සතුටක්,1.2292817738689437
2757,කරමු,1.2206698076424878
12607,හරි,1.2183925898327985
10360,වටිනවා,1.1991637563897295
182,අගය,1.1910531337805166
6654,පතමි,1.1454663797575213
10760,වැදගත්,1.1380993776878368
3506,කොච්චර,1.122039730029274
1525,ඉතා,1.1189866003561055
9999,ලංකාදීපයට,1.1046204036650558
13027,හොද,1.10185144291431
2017,එකම,1.0874061127462138
1074,ආඩම්බරයක්,1.0700604010204857
10651,වාසනාවන්,1.0502404720353806
4123,ගොඩක්,1.049407479965073
4518,ටිකක්,1.0281365473236355
11556,සතුටු,1.0235731062635367
11923,සාදු,0.9994920875665763
3134,කැමතියි,0.997610606030765
1625,ඉඳි,0.9808139901179722
2656,කමක්,0.9662976718964895
11868,ස්තුතියි,0.953059203074168
7409,පින්,0.930096688678911
8667,මම,0.9216034576635452
12314,සුභ,0.8811765693768966
9854,රැක,0.8657488722721718
11756,සරණයි,0.863044307835873
1526,ඉතාම,0.8621170896210095
4302,ජන,0.8587959489914936
11873,ස්තූතියි,0.8536321999078365
7664,පුරුදු,0.848018113060154
9811,රසවත්,0.844438950798906
8543,මටත්,0.838948825907713
9869,රැකියා,0.834175000227924
1527,ඉතාමත්,0.8328897469753865
6562,නොවේවා,0.8265754210027662
11372,ශ්‍රී,0.8227028656039075
2102,එනවා,0.8173298243902309
2755,කරමි,0.8153193670872733
2324,ඔබතුමාට,0.8103078631567442
10106,ලස්සනද,0.8070660971930252
11241,වෙනසක්,0.7989951124207962
8415,බොහොම,0.7950477503674787
8045,බල්ලා,0.785049128226618
8175,බැබළේවා,0.775133592503808
12613,හරිම,0.7735790176105171
1067,ආචාරය,0.7718438004378456
11933,සාධු,0.7711178446818959
2568,කතාව,0.7592141772894413
1806,උතුම්,0.7542448475784739
4323,ජනපති,0.7480362108994726
12333,සුව,0.7437831410952487
5723,දෙවි,0.7428665929255713
8773,මහත්තයා,0.7361044401022878
8734,මව්,0.7357716086302392
11600,සන්තෝෂයි,0.7305243750268715
2321,ඔබතුමා,0.7298922702823286
7515,පිහිටයි,0.7289515739663355
13125,ළමයා,0.7279175614328603
823,අවංක,0.7254430903918154
6279,නිර්භීත,0.7233473718159192
3721,ගනිමු,0.7232846568921821
